Wow, NN
Help, NN
Jump, NNP
Hello, NNP
Hello, NN
Cheers, NNS
Got, VB
it, PRP
I, PRP
OK, JJ
Awesome, NNP
Come, NNP
in, IN
Get, NNP
out, IN
Go, VB
away, RP
Goodbye, NN
Perfect, NN
Welcome, JJ
Welcome, NNP
Have, NNP
fun, NN
Have, VBP
fun, VBN
forgot, VBP
pay, VB
fine, JJ
full, JJ
Let, NNP
go, VB
Answer, IN
me, PRP
Birds, NNP
fly, NN
Excuse, NNP
Fantastic, JJ
fainted, VBD
fear, VBP
so, RB
laughed, VBD
bored, JJ
broke, JJ
tired, JJ
It, PRP
cold, JJ
Well, NNP
done, VBN
Who, WP
knows, VBZ
Wonderful, JJ
Birds, NNS
sing, VBG
on, IN
Definitely, NNP
Do, VBP
move, VB
Fire, NNP
burns, NNS
Follow, NNP
him, PRP
am, VBP
can, MD
swim, VB
love, VBP
you, PRP
will, MD
try, VB
coming, VBG
hungry, JJ
Let, VB
out, RP
Once, RB
again, RB
Please, NNP
sit, NN
That, IN
a, DT
boy, NN
What, WP
new, JJ
that, DT
shout, VB
He, PRP
stood, VBD
up, RP
strong, JJ
How, WRB
are, VBP
like, IN
both, DT
like, VBP
cake, VBP
dogs, NNS
math, NN
attend, VB
Nobody, NN
came, VBD
Was, NNP
wrong, RB
this, DT
Are, NNP
sick, JJ
Bring, NNP
with, IN
us, PRP
Happy, JJ
Easter, NN
Has, NNP
Tom, NNP
left, VBD
is, VBZ
French, JJ
at, IN
home, NN
ca, MD
do, VBP
know, VB
have, VBP
car, NN
dog, NN
understand, VBP
doctor, NN
starving, VBG
book, NN
snowing, VBG
too, RB
big, JJ
leave, VBP
Unbelievable, JJ
We, PRP
happy, JJ
tired, VBD
Can, MD
drive, VB
get, VB
fat, JJ
give, VB
Drink, NNP
down, RP
Everyone, NNP
dies, VBZ
Flowers, NNP
bloom, NN
who, WP
take, VB
now, RB
very, RB
busy, JJ
Is, VBZ
that, IN
cat, NN
for, IN
free, JJ
Make, VB
quick, JJ
May, NNP
come, VBP
Open, VB
the, DT
door, NN
Open, NNP
Read, NNP
Read, VBD
aloud, VBZ
She, PRP
bent, VBD
down, RB
Some, DT
fish, JJ
This, DT
map, JJ
my, PRP$
son, NN
town, NN
Were, NNP
shot, VBN
about, IN
help, VB
Clean, VB
room, NN
touch, VB
of, IN
bed, NN
New, NNP
Year, NN
birthday, NN
has, VBZ
beard, NN
an, DT
actor, NN
needs, VBZ
money, NN
was, VBD
hard, JJ
up, IN
history, NN
must, MD
buy, VB
one, CD
come, VB
back, RB
phone, NN
stay, VB
atheist, NN
hot, JJ
today, NN
your, PRP$
move, NN
Only, RB
God, NNP
Summer, NNP
over, IN
Take, VB
time, NN
Think, VBP
bag, NN
dog, JJ
Wash, NNP
feet, NNS
study, VBP
music, NN
call, VB
Where, WRB
were, VBD
You, PRP
to, TO
look, VBP
kidding, VBG
A, DT
man, NN
work, VB
guys, VBP
early, RB
if, IN
Congratulations, VB
Congratulations, NNS
Did, NN
he, PRP
there, RB
Did, NNP
miss, VB
be, VB
absurd, JJ
running, VBG
ill, RB
hat, NN
reads, VBZ
Arabic, NNP
husband, NN
How, NNP
everyone, NN
going, VBG
old, JJ
rude, NN
cooked, VBD
dinner, NN
feel, VBP
nauseous, JJ
go, VBP
every, DT
year, NN
heard, VBD
noise, NN
run, VBP
day, NN
saw, VBD
her, PRP
want, VBP
guitar, NN
assaulted, VBN
good, JJ
cook, NN
lucky, JJ
anybody, NN
here, RB
not, RB
black, JJ
there, EX
cafe, NN
fly, VB
kites, VBZ
No, NNP
,, ,
